"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"253","COPD: QOF prevalence (all ages)","","","E92000001","England","England","Persons","All ages","","","2020/21","1.9277164114433694","1.924260931168879","1.931177974692496","1.9222709938946418","1.9331769507416041","1170437","60716244","","","","","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","","","E38000220","NHS Birmingham and Solihull CCG","General Practice","Persons","All ages","","","2020/21","1.6672778973266937","1.6457272124477489","1.6891059404476831","1.6334245290619454","1.7018207513485584","22322","1338829","","","Lower","","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M85736","Acocks Green Medical Centre","General Practice","Persons","All ages","","","2020/21","2.1306","1.7663","2.5681","1.5859","2.8571","107","5022","","","Similar","Similar","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M85139","Alpha Medical Practice","General Practice","Persons","All ages","","","2020/21","0.4372","0.294","0.6497","0.2352","0.8113","24","5490","","","Lower","Lower","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M85123","Al-Shafa Medical Centre","General Practice","Persons","All ages","","","2020/21","0.519","0.3842","0.7007","0.3238","0.8308","42","8093","","","Lower","Lower","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M85149","Alum Rock Medical Centre","General Practice","Persons","All ages","","","2020/21","0.8524","0.6436","1.1283","0.5483","1.3229","48","5631","","","Lower","Lower","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","Y01068","Amaanah Medical Practice","General Practice","Persons","All ages","","","2020/21","0.6769","0.4773","0.9591","0.3917","1.1673","31","4580","","","Lower","Lower","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M85158","Apollo Surgery","General Practice","Persons","All ages","","","2020/21","2.5163","1.9337","3.2686","1.6632","3.7901","54","2146","","","Similar","Similar","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M89030","Arden Medical Centre","General Practice","Persons","All ages","","","2020/21","0.9191","0.6898","1.2237","0.5858","1.4393","46","5005","","","Lower","Lower","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M89013","Arran Medical Centre","General Practice","Persons","All ages","","","2020/21","2.3309","1.9832","2.7378","1.8071","3.0017","144","6178","","","Similar","Higher","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M85026","Ashfield Surgery","General Practice","Persons","All ages","","","2020/21","1.1794","1.0216","1.3612","0.9406","1.478","184","15601","","","Lower","Lower","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M85779","Aylesbury Surgery","General Practice","Persons","All ages","","","2020/21","3.1874","2.6033","3.8973","2.3173","4.3696","91","2855","","","Higher","Higher","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M85118","Baldwins Lane Surgery","General Practice","Persons","All ages","","","2020/21","1.6142","1.2508","2.081","1.0811","2.4039","58","3593","","","Similar","Similar","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M89016","Balsall Common & Meriden Group Practice","General Practice","Persons","All ages","","","2020/21","1.4899","1.2947","1.714","1.1942","1.8574","192","12887","","","Lower","Similar","20200000","","","1y"
"253","COPD: QOF prevalence (all ages)","E38000220","NHS Birmingham and Solihull CCG","M85766","Balsall Heath Health Centre (S)","General Practice","Persons","All ages","","","2020/21","0.9031","0.647","1.2592","0.5355","1.519","34","3765","","","Lower","Lower","20200000","","","1y"
