gp_practice,latitude,longitude,asthma_percentage,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Acocks Green Medical Centre,52.4500714,-1.8301786,6.8472,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Alpha Medical Practice,52.4912121,-1.8566404,7.9489,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Al-Shafa Medical Centre,52.5056399,-1.8921101,6.545,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Alum Rock Medical Centre,52.4898917,-1.8507548,7.4716,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Amaanah Medical Practice,52.4907265,-1.8521147,6.4019,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Apollo Surgery,52.55443959999999,-1.8924412,5.4482,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Arden Medical Centre,52.37942899999999,-1.7431408,5.6651,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Arran Medical Centre,52.5032514,-1.7486634,7.3684,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Ashfield Surgery,52.5398406,-1.7999304,6.2779,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Aylesbury Surgery,52.5428575,-1.8760637,7.6136,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Baldwins Lane Surgery,52.4144667,-1.8460362,6.1648,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Balsall Common & Meriden Group Practice,52.3949003,-1.6435486,7.255,1.310897435897436,232.06971153846155,1.1963141025641026,11.101533882783883,52.09695512820513,2.464514652014652,4.325778388278389,5.6610576923076925,1.4987408424908424
Balsall Heath Health Centre (S),52.4570677,-1.8862708,7.4462,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Bartley Green Medical Practice,52.4353001,-2.004361,7.3923,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Bath Row Medical Practice,52.4726492,-1.9086419,3.7138,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Bloomsbury Surgery,52.4932889,-1.8719413,6.1069,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Bordesley Green Surgery,52.47687579999999,-1.8548714,6.0216,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Bosworth Medical Centre,52.48060539999999,-1.7528139,7.9439,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Bournbrook Varsity Medical Centre,52.44633,-1.930193,3.6959,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Bournville Surgery,52.42966,-1.935059,5.2069,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Bucklands End Lane Surgery,52.4987332,-1.8022451,5.9291,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Burbury Medical Centre,52.50266730000001,-1.9105331,5.9198,1.296474358974359,235.22298534798534,2.352220695970696,13.079555860805861,50.16277472527472,3.410485347985348,4.239239926739927,5.501717032967033,1.2129120879120878
Cape Hill Medical Centre,52.488443,-1.954263,8.5314,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Cavendish Medical Practice,52.48773929999999,-1.9374783,7.5603,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Charles Road Surgery,52.4724021,-1.850617,6.021,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Chester Road Surgery,52.4977119,-1.7523868,6.3881,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Church Lane - Khan,52.4872825,-1.7937789,5.8986,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Church Road Surgery,52.503617,-1.8755597,6.9599,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
City Health Centre,52.4769757,-1.9576221,6.4084,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
