gp_practice,latitude,longitude,asthma_percentage,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
NHS Barnsley CCG,53.558921,-1.4966262,6.6,1.27,231.93,1.15,11.38,52.85,2.58,3.59,4.81,1.25
NHS Basildon And Brentwood CCG,51.59115809999999,0.4953693,6.2,1.42,239.92,2.26,13.97,51.42,4.38,5.77,7.43,0.52
NHS Bassetlaw CCG,53.3260422,-0.9546871000000001,6.4,1.29,233.11,0.64,10.13,54.02,1.81,3.74,5.17,1.97
"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",51.35778699999999,-2.372918,6.9,1.34,226.67,0.39,7.6,56.45,1.15,4.53,5.85,1.69
"NHS Bedfordshire, Luton and Milton Keynes CCG",51.8796239,-0.4142659,6.2,1.34,233.05,1.29,11.76,51.54,2.58,4.95,6.45,0.7
NHS Berkshire West CCG,51.4468653,-0.9985014000000001,6.1,1.37,230.05,0.97,9.91,54.86,2.11,5.0,6.39,0.92
NHS Birmingham and Solihull CCG,52.483275,-1.896838,6.6,1.31,234.78,1.84,13.21,49.76,3.2,4.43,5.76,1.35
NHS Black Country and West Birmingham CCG,52.523248,-2.002354,6.5,1.3,235.22,2.35,13.08,50.16,3.41,4.24,5.5,1.21
NHS Blackburn With Darwen CCG,53.7339457,-2.4556352,7.7,1.28,224.16,0.55,9.3,54.56,2.07,3.44,4.52,1.74
NHS Blackpool CCG,53.8056743,-3.0487013,7.9,1.35,225.86,0.6,8.82,59.41,1.7,3.43,4.54,2.2
NHS Bolton CCG,53.5769049,-2.4312247,6.7,1.29,235.16,3.27,15.54,47.22,3.85,4.04,5.2,1.42
NHS Bradford District and Craven CCG,53.7961231,-1.7492654,7.3,1.26,227.35,0.74,9.86,55.18,2.43,3.43,4.5,1.12
NHS Brighton And Hove CCG,50.8284646,-0.1704034,5.7,1.49,232.86,0.74,10.77,62.73,3.25,6.28,8.19,0.51
"NHS Bristol, North Somerset and South Gloucestershire CCG",51.4600794,-2.5915505,6.7,1.34,228.85,0.79,8.95,54.76,1.47,4.54,5.9,1.6
NHS Buckinghamshire CCG,51.814822,-0.8116485999999999,6.3,1.34,226.79,0.32,7.9,54.52,1.28,4.7,6.08,1.52
NHS Bury CCG,53.5903464,-2.2989476,6.7,1.29,233.98,2.47,14.27,50.26,3.63,3.94,5.06,1.12
NHS Calderdale CCG,53.721774,-1.8578643,7.1,1.26,227.35,0.74,9.86,55.18,2.43,3.43,4.5,1.12
NHS Cambridgeshire and Peterborough CCG,52.3892227,0.2604764,6.2,1.33,228.37,0.22,6.69,54.65,0.92,4.69,6.2,1.74
NHS Cannock Chase CCG,52.8057729,-2.1147845,6.7,1.28,223.29,0.36,7.6,55.45,1.26,3.64,4.85,2.09
NHS Castle Point And Rochford CCG,51.58403939999999,0.6029455,6.3,1.43,238.05,1.75,13.25,52.78,5.32,5.86,7.57,0.69
